Thumb;SKU;Name;Color;Category;Category Position;Brand;Seller;Balance;First Date;Comments;Rating;Final price;SPP Price;Revenue potential;Days in stock;Sales;Sales Per Day Average;Revenue;Pics Count;Hax Video;Categories Last Count
https://basket-01.wb.ru/vol139/part13975/13975822/images/c246x328/1.jpg;13975822;"Простынь ""Котики"" натяжная 160х200 ";темно-синий,персиковый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;6;Сказка.;ИП Ральников Константин Леонидович;607;09.08.2020;884;5;1055;929;1157335;30;1097;36,5667;1157335;8;0;2
https://basket-05.wb.ru/vol751/part75175/75175723/images/c246x328/1.jpg;75175723;Простынь на резинке 160х200 х26см,хлопок;серо-голубой;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;-1;YERRNA;ОАО Шуйские Ситцы ХБК;0;22.04.2022;1318;5;1078;809;1796406,316;19;890;29,6667;1137724;15;0;0
https://basket-05.wb.ru/vol751/part75124/75124946/images/c246x328/1.jpg;75124946;Простынь на резинке 140х200 х26см,хлопок;серо-голубой;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;8;YERRNA;ОАО Шуйские Ситцы ХБК;697;22.04.2022;424;5;1246;1096;1121802;30;1064;35,4667;1121802;10;0;6
https://basket-06.wb.ru/vol1023/part102376/102376671/images/c246x328/1.jpg;102376671;Простынь на резинке 180х200 х26см,хлопок;пудровый,пастельно-розовый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;5;YERRNA;ОАО Шуйские Ситцы ХБК;288;14.10.2022;704;5;1454;1279;1054290;30;915;30,5;1054290;11;1;6
https://basket-05.wb.ru/vol839/part83986/83986923/images/c246x328/1.jpg;83986923;Простынь на резинке 180х200 х26см,хлопок;темно-синий;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;-1;YERRNA;ОАО Шуйские Ситцы ХБК;0;11.07.2022;704;5;1100;825;1179782,308;26;879;29,3;1022478;11;0;0
https://basket-01.wb.ru/vol139/part13975/13975823/images/c246x328/1.jpg;13975823;Простынь нат 180х200 см евро;темно-синий,бежевый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;27;Сказка.;ИП Ральников Константин Леонидович;175;09.08.2020;352;5;1124;989;948656;30;844;28,1333;948656;8;1;2
https://basket-05.wb.ru/vol750/part75048/75048876/images/c246x328/1.jpg;75048876;Простынь на резинке 90х200 х26см, хлопок;белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;39;YERRNA;ОАО Шуйские Ситцы ХБК;969;22.04.2022;347;5;928;816;947348;30;1150;38,3333;947348;12;0;3
https://basket-01.wb.ru/vol139/part13975/13975819/images/c246x328/1.jpg;13975819;Простынь  натяжная 90х200 см 1,5-сп;темно-синий,бежевый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;11;Сказка.;ИП Ральников Константин Леонидович;297;09.08.2020;467;5;688;605;947032;30;1330;44,3333;947032;8;1;4
https://basket-01.wb.ru/vol112/part11223/11223222/images/c246x328/1.jpg;11223222;простынь на резинке 160х200 / бортики 20 см / хлопок 100%;серый,белый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;10;Ночь Нежна;ООО Альфа - Трейд;19;26.02.2020;741;5;1080;950;881640;30;919;30,6333;881640;9;1;6
https://basket-01.wb.ru/vol93/part9336/9336766/images/c246x328/1.jpg;9336766;Простынь на резинке 160х200 2 спальное натяжная простыня;графит,серый;Дом/Спальня/Постельные принадлежности/Простыни/Простынь натяжная;17;Селтекс;ООО Швейная Фабрика Селтекс;0;25.01.2020;3966;5;648;499;1070268,75;24;1310;43,6667;856215;7;0;3
